Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.8315,0.5767543859649122,0.6461916461916462,0.6095017381228274,0.8551509907442112
Random Forest,0.87,0.7905138339920948,0.4914004914004914,0.6060606060606061,0.860871657481827
Logistic Regression,0.7705,0.4608433734939759,0.7518427518427518,0.5714285714285714,0.8413405701541294
